month_year,scandate
2009-08,1
2009-09,2
2009-12,1
2010-02,1
2010-06,1
2010-07,1
2011-08,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,2
2012-05,2
2012-07,1
2012-08,2
2012-09,2
2013-05,1
2013-06,2
2013-07,21
2013-08,82
2013-09,245
2014-02,1
2014-06,1
2015-04,2
2015-06,1
2015-09,1
2015-10,2
2015-11,3
2016-02,1
2016-05,79
2016-06,1433
2016-07,2421
2016-08,4311
2016-09,293
2016-10,2005
2016-11,3908
2016-12,7080
2017-01,5690
2017-02,5704
2017-03,8885
2017-04,6810
2017-05,7732
2017-06,7293
2017-07,6750
2017-08,10666
2017-09,16525
2017-10,16957
2017-11,22030
2017-12,23350
2018-01,26035
2018-02,17595
2018-03,24919
2018-04,20263
2018-05,24308
2018-06,30000
2018-07,33762
2018-08,31749
2018-09,26901
2018-10,29563
2018-11,26944
2018-12,19350
2019-01,8855
